CODIGO,NOMBRE,DESCRIPCION,COMPRA,MAYOREO,LLEVAR,COLOCADO,EXISTENCIAS,CANT_MIN,TIPO_MED,PROVEEDOR,CATEGORIA,MARCA1,MODELO1,ANIO1,MARCA2,MODELO2,ANIO2,MARCA3,MODELO3,ANIO3,MARCA4,MODELO4,ANIO4,MARCA5,MODELO5,ANIO5
DW00814GBN,,CHEVROLET PICK-UP/SUBUR 73-91 MAXI/AMERICANA CON ANTENA ,$635.00,"$1,150.00","$1,230.00","$1,300.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,73-91,,,,,,,,,,,,
DW00816GBN,,CHEVROLET PICK-UP/SUBUR 73-91 MAXI/AME SIN ANTENA ,$635.00,$940.00,"$1,040.00","$1,150.00",5,,,CITSA,PARABRISAS,CHEVROLET,,73-91,,,,,,,,,,,,
DW01026GBN,,CHEVROLET PICK-UP/SUBUR 88-98 DW01217),$810.00,"$1,260.00","$1,360.00","$1,460.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,88-98,,,,,,,,,,,,
DW01341GBY,,SILVERADO/SIERRA/SUBURBAN/ESCALADE/ 4 PTAS 99-06,,"$1,210.00","$1,330.00","$1,500.00",6,,,CRINAMEX,PARABRISAS,CHEVROLET,,99-06,,,,,,,,,,,,
DW01658-GBN,,SILVERADO/CHEYENE/AVALANCHE/SUBURBAN/ESACALADE 07-14 ,,"$1,450.00","$1,650.00","$1,900.00",5,,,CITSA,PARABRISAS,CHEVROLET,,41821,,,,,,,,,,,,
DW02041GTY,,"SILVERADO/CHEYENE/SUBURBAN/SILVERADO SERIE C350,K350,C150,C250 14-16",,"$1,400.00","$1,500.00","$1,650.00",,,,,PARABRISAS,CHEVROLET,,14-16,,,,,,,,,,,,
DW02198GTN,,SUBURBAN PICK UP/ SILVERADO 15-17 (MISMO 07-14) 1659,,"$2,700.00","$2,900.00","$3,100.00",3,,,ORIGINAL,PARABRISAS,CHEVROLET,,"15-17, 07-14",,,,,,,,,,,,
DW00653GBN,,SUBURBAN PICK UP 64-66,,$900.00,"$1,050.00","$1,500.00",,,,CITSA,PARABRISAS,CHEVROLET,,64-66,,,,,,,,,,,,
DW00653GBN,,SUBURBAN PICK UP 64-66,,"$1,300.00","$1,400.00","$1,500.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,64-66,,,,,,,,,,,,
DW01918GTN,,TORNADO 13-15  MINI P-UP,,"$1,600.00","$1,700.00","$1,800.00",8,,,CRINAMEX,PARABRISAS,CHEVROLET,,13-15,,,,,,,,,,,,
