CODIGO,DESCRIPCION,COSTO,NEGOCIO,LLEVAR,COLOCADO,BOD,STK,INV,PROVEEDOR,MARCA,CATEGORIA
DW01723GBN,LIBERTY 4PTS 08-11 (SERIE AL TABLERO),,"$1,280.00","$1,430.00","$1,580.00",2,,2,CITSA,CHRYSLER,PARABRISAS
DW01179GBN,NEON 2/4PTS 95-99,,"$1,200.00","$1,350.00","$1,500.00",2,,2,CRINAMEX,CHRYSLER,PARABRISAS
DW01468GBN,NEON 2/4PTS 00-05 01349,,"$1,200.00","$1,320.00","$1,500.00",1,,1,CRINAMEX,CHRYSLER,PARABRISAS
DW01670GBN,NITRO 4PTS 07-11,,"$1,320.00","$1,470.00","$1,620.00",5,,5,CRINAMEX,CHRYSLER,PARABRISAS
DW01526GBN,PACIFICA 04-08 4 PTAS,,"$2,090.00","$2,140.00","$2,700.00",5,,5,CITSA,CHRYSLER,PARABRISAS
DW01526GBN,PACIFICA 04-08 4 PTAS,,"$1,570.00","$1,720.00","$1,880.00",,,,,,
DW01682GTN,PATRIOT 4PTS 07-17,,"$1,320.00","$1,480.00","$1,650.00",3,,3,CRINAMEX,CHRYSLER,PARABRISAS
DW00605GBN,PICK UP /CAMION /VOLTEO  61-71,,$980.00,"$1,150.00","$1,300.00",4,,4,CITSA,CHRYSLER,PARABRISAS
DW01176GBN,PICK UP RAM 250/350/150 94-02 (SERIE ANCHO),,"$1,380.00","$1,530.00","$1,680.00",,,0,crinamex,CHRYSLER,PARABRISAS
DW01473GTN,PICK UP RAM 250/350/150 94-02 (SERIE ANGOSTO)(DW01381),,"$1,370.00","$1,520.00","$1,700.00",,,0,CRINAMEX,CHRYSLER,PARABRISAS
DW01512GBN,PICK UP RAM 150/250/350/450/550 CABINA 1/2 Y DOBLE CABINA 03-08 (DW01456),,"$1,440.00","$1,590.00","$1,740.00",,,0,CITSA,CHRYSLER,PARABRISAS
DW01456GBN,PICK UP RAM 150/250/350/450/550 CABINA 1/2 Y DOBLE CABINA 03-08 ,,"$1,440.00","$1,590.00","$1,740.00",5,,5,CRINAMEX,CHRYSLER,PARABRISAS
DW01553GTN,PT CRUISER HB/CONBERTIBLE 2/4PTS 01-08  (DW01390GBY),,"$1,780.00","$1,900.00","$2,050.00",,,0,CRINAMEX,CHRYSLER,PARABRISAS
DW01028GBN,PHANTOM 87-94 CHRYSLER                  CHECAR ANTES NO TIENE ETIQUETA,$707.00,"$1,200.00","$1,350.00","$1,500.00",2,,2,CITSA,CHRYSLER,PARABRISAS
DW00998GBN,"SHADOW, SUDANCE 2/4 PTAS 87-94 (03205)",,"$1,020.00","$1,170.00","$1,320.00",5,,5,CITSA,CHRYSLER,PARABRISAS
DW01057GBN,SPIRIT 2 Y 4 PTS 89-95 ,$660.00,$560.00,$640.00,"$1,250.00",,,0,,CHRYSLER,PARABRISAS
DW01488GGN,"SPRINTER VAN 118WB 06, 140WB 06, 158WB 03-06 ESTA EN FORD 1","$1,550.00","$2,200.00","$2,500.00","$2,800.00",2,,2,CRINAMEX,CHRYSLER,PARABRISAS
DW01719GYN,SPRINTER 170-140  VAN  07-15/CRAFTER VAN,"$2,685.00","$1,980.00","$2,030.00","$2,500.00",1,,1,CITSA,CHRYSLER,PARABRISAS
DW01198GBN,STRATUS /SEBRING /CIRRUS /4PTS 01-06 (DW01467)1853,,"$1,380.00","$1,530.00","$1,680.00",1,,1,CITSA,CHRYSLER,PARABRISAS
DW01413GBN,STRATUS /SEBRING /CIRRUS /4PTS 01-06 (DW01467)1853,,$980.00,"$1,000.00","$1,250.00",,,0,CRINAMEX,CHRYSLER,PARABRISAS
DW00859GBN,"VALIANT,DART,LEB. 4 PTAS. Y GUAYIN 77-78 volare 2 pt",$617.00,"$1,080.00","$1,230.00","$1,400.00",4,,4,CITSA,CHRYSLER,PARABRISAS
FW02162GBN,VERNA 2/4 PTS SEDAN 03-06,,"$1,200.00","$1,300.00","$1,400.00",2,,2,CRINAMEX,CHRYSLER,PARABRISAS
FW02162GBN,VERNA 2/4 PTS SEDAN 03-06 USADO ,,$900.00,"$1,000.00","$1,100.00",,,,USADO,,
DW00858GBN,VOLARE 2PTS ,,"$1,050.00","$1,200.00","$1,350.00",4,,4,CITSA,CHRYSLER,PARABRISAS
DW00859GBN,VOLARE 4PTS DARK ,,"$1,080.00","$1,230.00","$1,400.00",7,,7,CITSA,CHRYSLER,PARABRISAS
DW01094GBN,AEROSTAR CARGO/MINI VAN 90-98,,"$1,500.00","$1,650.00","$1,850.00",2,,2,CRINAMEX,FORD,PARABRISAS
DW01187GBY,CONTOUR/MISTIQUE 4 PTAS 95-99         (DW01264),,"$1,260.00","$1,380.00","$1,500.00",1,,1,CRINAMEX,FORD,PARABRISAS
FW00246,COURIER 72-82,,"$1,410.00","$1,510.00","$1,600.00",,,0,CRINAMEX,FORD,PARABRISAS
DW00603CLN,ECONOLINE VAN /PICK UP 2 PTAS 61-67,,"$1,730.00","$1,830.00","$2,030.00",,,0,CRINAMEX,FORD,PARABRISAS
DW00837CLN,ECONOLINE MINIVAN 75-92,,$910.00,"$1,010.00","$1,250.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01292GBY,ECONOLINE MINI VAN 92-14 (DW01175)                                                (VITRO),,"$1,350.00","$1,450.00","$1,700.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01552-GBN,ECOSPORT 4 PTAS 03-13,,"$1,190.00","$1,340.00","$1,490.00",5,,5,CITSA,FORD,PARABRISAS
